timestamp,target_id,range,velocity,signal_strength,packet_size,latency,packet_loss,throughput,packet_rate,network_health_score,signal_latency_ratio,status
1780770791.3012137,81,293,347,75.84,913,78.31,14.13,2211.34,29.79,53.88,0.96,NORMAL
1780770791.3516228,55,241,1091,54.33,1249,94.3,9.46,437.04,26.03,35.44,0.57,NORMAL
1780770791.4020247,57,383,657,66.83,1145,142.47,14.12,2087.95,29.06,38.46,0.47,SUSPICIOUS
1780770791.4529762,93,214,526,76.91,1012,73.19,10.33,2025.8,32.75,59.26,1.04,SUSPICIOUS
1780770791.5042806,38,284,973,79.54,521,44.29,12.5,1306.89,16.18,62.61,1.76,NORMAL
1780770791.5551693,78,203,1181,87.78,1884,35.31,1.22,1365.2,14.17,83.03,2.42,NORMAL
1780770791.606714,81,418,677,88.77,1780,54.63,10.04,1045.45,16.62,73.27,1.6,NORMAL
1780770791.6574676,57,422,802,77.79,484,81.57,13.35,1349.89,15.84,56.28,0.94,NORMAL
1780770791.708086,70,335,1199,33.53,427,83.66,21.98,1603.33,18.23,3.18,0.4,JAMMING
1780770791.7593231,62,385,374,56.01,1209,49.99,12.41,1678.21,9.29,38.6,1.1,JAMMING
1780770791.8108363,26,451,673,67.59,1812,45.29,1.89,1726.13,22.32,61.17,1.46,NORMAL
1780770791.8615892,67,343,205,59.69,792,105.48,19.29,1990.57,32.84,29.85,0.56,JAMMING
1780770791.9119956,86,446,940,84.89,346,41.21,7.45,1794.2,25.19,73.32,2.01,NORMAL
1780770791.9629147,61,435,1726,79.67,1283,86.68,16.05,2581.38,49.06,54.95,0.91,SUSPICIOUS
1780770792.014016,59,370,1196,83.2,1550,11.49,11.81,1703.89,30.46,70.24,6.66,NORMAL
1780770792.0646863,80,484,202,52.45,1315,70.55,7.22,454.89,22.6,38.18,0.73,NORMAL
1780770792.1152306,90,244,549,53.11,1091,59.49,6.18,2811.19,50.38,40.98,0.88,SUSPICIOUS
1780770792.1661766,56,104,620,56.82,957,72.83,13.3,2044.0,12.53,36.24,0.77,NORMAL
1780770792.2171164,21,263,607,72.51,2118,29.05,15.12,1635.42,25.49,54.49,2.41,SUSPICIOUS
1780770792.2679527,63,165,402,84.12,175,29.08,5.47,1697.17,33.67,75.74,2.8,NORMAL
1780770792.3186235,31,381,708,51.31,2265,20.22,19.31,3428.75,61.19,29.98,2.42,SUSPICIOUS
1780770792.3692749,14,257,880,85.95,615,35.99,3.12,273.67,20.89,79.23,2.32,NORMAL
1780770792.4201636,8,246,413,77.54,566,21.22,13.6,449.74,10.3,61.82,3.49,NORMAL
1780770792.4710324,43,182,776,89.39,488,85.47,10.68,1719.17,19.27,70.16,1.03,NORMAL
1780770792.521646,37,441,576,47.67,483,38.02,12.94,1678.29,12.13,30.93,1.22,JAMMING
1780770792.5724711,59,453,511,59.75,854,75.75,0.45,1176.6,18.49,51.72,0.78,NORMAL
1780770792.62302,46,285,626,88.39,894,98.12,11.47,560.34,17.42,67.11,0.89,NORMAL
1780770792.6739955,84,470,1598,81.32,2630,140.25,8.5,1016.27,64.56,58.79,0.58,SUSPICIOUS
1780770792.7246337,78,326,1181,94.01,1785,75.67,13.29,3016.6,15.12,73.15,1.23,SUSPICIOUS
1780770792.7759876,35,283,1089,83.85,1337,13.52,6.98,2135.37,33.89,75.52,5.77,NORMAL
1780770792.8267233,21,138,203,63.19,427,14.48,4.79,1888.95,25.29,56.95,4.08,NORMAL
1780770792.8774183,42,293,1197,69.56,1651,59.16,1.31,1856.96,25.34,62.33,1.16,NORMAL
1780770792.9279315,97,394,342,95.38,546,75.64,4.95,143.61,13.88,82.87,1.24,NORMAL
1780770792.9788988,54,215,488,51.3,1541,76.36,6.37,1322.76,36.56,37.29,0.66,NORMAL
1780770793.0294359,53,172,214,68.89,1030,48.71,3.84,203.97,25.54,60.18,1.39,NORMAL
1780770793.0803585,55,165,763,64.45,1195,188.19,14.57,1044.07,27.75,31.06,0.34,JAMMING
1780770793.130884,25,354,420,63.02,1557,60.41,2.1,1746.75,19.99,54.88,1.03,NORMAL
1780770793.1818655,14,175,612,76.22,1142,58.02,14.67,1238.84,5.0,55.75,1.29,NORMAL
1780770793.2324982,15,304,1197,53.42,943,12.23,4.13,1155.8,30.38,48.07,4.04,NORMAL
1780770793.283743,90,402,1253,50.17,2957,142.77,14.21,1367.12,69.91,21.68,0.35,SUSPICIOUS
1780770793.3342676,62,356,625,70.78,1758,70.67,4.67,419.62,9.09,59.04,0.99,NORMAL
1780770793.38523,7,122,718,31.32,864,144.99,8.65,1484.3,25.94,8.17,0.21,JAMMING
1780770793.436453,48,410,1133,33.58,1115,84.92,8.07,1231.91,31.62,17.02,0.39,JAMMING
1780770793.4878647,89,353,908,70.24,1085,37.49,2.89,2475.1,11.44,63.6,1.82,NORMAL
1780770793.5387235,9,431,941,58.35,738,98.09,2.82,2278.31,21.61,45.72,0.59,NORMAL
1780770793.5893848,10,330,1010,89.37,1542,34.86,12.81,1152.54,11.82,73.07,2.49,SUSPICIOUS
1780770793.6409175,43,125,1080,74.48,2043,116.72,4.99,2581.06,58.57,57.82,0.63,SUSPICIOUS
1780770793.691651,24,166,823,58.58,1903,87.96,14.65,573.99,34.75,35.13,0.66,NORMAL
1780770793.7423737,63,417,1556,95.9,743,116.35,4.95,571.45,33.32,79.31,0.82,SUSPICIOUS
1780770793.7934816,43,388,390,72.69,756,62.92,13.59,1173.16,8.01,52.81,1.14,NORMAL
1780770793.8444552,65,145,805,67.14,768,63.31,11.04,2187.9,13.05,49.77,1.04,NORMAL
1780770793.8952186,85,153,1362,66.73,2043,60.34,4.05,1551.66,13.69,56.65,1.09,SUSPICIOUS
1780770793.9460356,31,229,1020,55.3,1350,130.18,6.77,453.85,34.59,35.51,0.42,JAMMING
1780770793.9966614,45,147,997,96.43,1040,42.35,7.85,535.44,34.65,84.35,2.22,NORMAL
1780770794.0482547,33,370,1173,57.17,1635,49.57,4.73,621.77,26.25,47.48,1.13,NORMAL
1780770794.0986907,95,473,630,82.44,400,135.58,4.33,1188.83,7.01,64.55,0.6,JAMMING
1780770794.1492903,80,189,662,70.07,1309,89.32,6.13,862.58,11.22,55.01,0.78,NORMAL
1780770794.1999774,74,403,726,75.74,1160,67.6,0.19,2155.21,22.49,68.79,1.1,NORMAL
1780770794.250465,70,359,1105,69.96,499,30.35,13.81,1980.13,12.05,53.11,2.23,NORMAL
1780770794.3014364,71,230,348,64.81,738,196.73,16.53,1091.97,30.62,28.61,0.33,JAMMING
1780770794.3519902,21,378,340,85.6,928,56.32,13.67,1978.29,34.14,66.3,1.49,NORMAL
1780770794.4024227,73,140,1526,48.12,793,64.95,1.07,2352.5,21.68,40.55,0.73,SUSPICIOUS
1780770794.453304,66,481,1033,40.06,331,98.6,17.56,1038.87,14.14,12.64,0.4,JAMMING
1780770794.5040126,70,493,517,91.04,494,90.58,7.64,2216.3,28.09,74.34,0.99,NORMAL
1780770794.554486,17,131,1091,88.95,778,33.58,14.59,2288.66,5.39,71.0,2.57,NORMAL
1780770794.6051857,12,456,349,33.43,1267,91.27,12.92,2233.5,31.57,11.38,0.36,JAMMING
1780770794.655941,74,434,665,65.96,250,140.97,19.83,981.27,17.82,32.03,0.46,JAMMING
1780770794.7066705,46,414,598,66.16,623,81.47,3.87,183.73,31.56,54.14,0.8,NORMAL
1780770794.7572682,5,330,326,74.01,918,19.67,1.68,1370.75,11.01,70.36,3.58,NORMAL
1780770794.807939,44,193,469,51.49,554,36.12,17.72,2174.92,32.24,30.16,1.39,JAMMING
1780770794.8586118,54,366,466,86.24,1895,70.3,0.73,3376.88,40.89,78.48,1.21,SUSPICIOUS
1780770794.9095366,72,395,212,53.99,1313,41.23,12.2,676.26,18.03,37.67,1.28,NORMAL
1780770794.9603558,84,369,1011,74.46,1296,51.17,12.48,1571.71,16.5,56.86,1.43,NORMAL
1780770795.01125,71,349,658,85.88,1021,23.36,0.94,2000.14,31.08,82.6,3.53,NORMAL
1780770795.0617127,59,222,1153,34.0,949,93.35,19.55,1011.82,32.49,5.12,0.36,JAMMING
1780770795.1126065,63,141,936,49.92,2323,90.14,13.53,1067.75,17.56,27.38,0.55,SUSPICIOUS
1780770795.1632679,28,126,616,94.87,1938,82.86,6.2,1014.87,25.93,80.38,1.13,NORMAL
1780770795.2140887,39,373,393,76.63,1132,86.02,4.46,1614.89,12.99,63.57,0.88,NORMAL
1780770795.2645369,78,129,441,50.92,962,150.43,7.31,2009.92,31.37,28.57,0.34,JAMMING
1780770795.315296,46,306,1040,79.59,1434,38.94,9.73,635.06,33.9,65.97,1.99,NORMAL
1780770795.3657544,48,105,957,75.83,1556,48.53,2.14,1211.94,8.1,68.84,1.53,NORMAL
1780770795.4164488,91,233,500,76.6,569,86.27,8.02,2317.32,31.19,59.95,0.88,NORMAL
1780770795.467898,85,351,1069,66.75,914,65.93,6.32,113.3,26.99,53.84,1.0,NORMAL
1780770795.5183787,96,337,839,60.62,722,83.62,10.8,1571.43,36.55,41.46,0.72,NORMAL
1780770795.5697732,27,151,897,56.73,1175,65.79,13.39,1469.75,36.69,36.76,0.85,NORMAL
1780770795.6205747,76,317,956,87.23,1865,63.33,6.99,927.86,5.08,73.91,1.36,NORMAL
1780770795.671398,97,434,899,83.45,906,92.43,7.23,462.26,32.26,66.98,0.89,NORMAL
1780770795.722077,24,393,922,57.92,602,166.57,18.12,861.84,31.27,23.14,0.35,JAMMING
1780770795.772998,16,103,307,77.91,1462,79.24,7.78,2336.38,39.76,62.21,0.97,NORMAL
1780770795.823944,27,341,836,55.66,570,142.07,5.5,485.77,24.43,35.95,0.39,JAMMING
1780770795.8745227,49,450,1258,43.91,2758,91.98,17.99,1376.89,61.47,16.72,0.47,SUSPICIOUS
1780770795.9250832,93,287,1135,49.31,2889,26.14,10.49,3643.86,59.01,36.21,1.82,SUSPICIOUS
1780770795.9756403,66,161,910,60.54,421,168.58,10.07,400.96,30.51,33.61,0.36,JAMMING
1780770796.0263436,50,155,230,64.42,1560,64.28,14.85,2439.48,21.86,43.14,0.99,NORMAL
1780770796.077063,11,120,771,68.72,637,75.32,2.91,1652.11,25.77,58.28,0.9,NORMAL
1780770796.1279814,53,455,490,84.15,1012,43.4,10.04,1692.21,38.48,69.77,1.9,NORMAL
1780770796.1790483,16,379,1471,70.37,2124,124.16,0.79,1562.05,67.04,57.16,0.56,SUSPICIOUS
1780770796.2295136,14,256,917,65.55,1094,96.9,24.73,222.55,29.17,31.13,0.67,JAMMING
1780770796.2801995,41,398,730,97.88,547,74.9,11.66,1282.21,28.23,78.73,1.29,NORMAL
1780770796.330762,12,478,292,72.81,712,53.53,6.87,2493.81,36.22,60.59,1.34,NORMAL
1780770796.381644,48,164,1176,82.92,1919,93.77,3.48,2148.11,20.14,70.06,0.87,NORMAL
1780770796.4324348,48,363,375,77.03,1664,22.19,4.83,449.88,18.78,69.98,3.32,NORMAL
1780770796.4832006,3,215,1179,80.09,1188,82.54,14.48,1672.9,15.8,57.36,0.96,NORMAL
1780770796.533863,78,247,706,87.88,1252,45.33,0.67,2476.07,23.0,82.68,1.9,NORMAL
1780770796.5844674,17,336,1306,54.98,836,31.73,16.16,2923.66,19.81,35.65,1.68,SUSPICIOUS
1780770796.6352563,68,172,1156,88.58,474,48.36,8.2,664.88,33.68,75.54,1.79,NORMAL
1780770796.6861086,36,151,503,85.82,318,84.5,2.57,2363.66,39.14,74.8,1.0,NORMAL
1780770796.736758,13,209,431,69.49,2298,141.84,5.65,3520.16,60.24,49.66,0.49,SUSPICIOUS
1780770796.7874868,79,353,221,76.47,1725,65.85,22.25,2006.91,23.14,47.63,1.14,JAMMING
1780770796.8382003,73,166,561,84.75,1807,56.4,4.54,2267.27,17.91,74.57,1.48,NORMAL
1780770796.8891342,51,432,272,56.13,1695,86.45,13.7,2203.96,34.45,33.79,0.64,NORMAL
1780770796.940179,39,367,1070,69.15,1332,20.46,14.92,2195.89,5.63,52.18,3.22,NORMAL
1780770796.9916883,8,242,1412,66.19,2084,34.21,17.28,2937.92,34.36,45.49,1.88,SUSPICIOUS
1780770797.0422459,57,475,781,70.68,1384,99.12,0.31,1578.06,14.85,60.46,0.71,NORMAL
1780770797.0931518,66,155,394,52.48,1553,20.1,8.34,288.1,33.58,42.13,2.49,NORMAL
1780770797.1437511,12,475,445,60.55,961,75.56,5.21,2448.5,9.85,47.78,0.79,NORMAL
1780770797.194207,12,320,590,84.61,1552,94.18,2.14,2138.84,13.76,73.05,0.89,NORMAL
1780770797.2448633,41,494,1189,95.71,344,31.13,8.96,1310.6,37.61,83.64,2.98,NORMAL
1780770797.2956991,33,399,825,74.3,704,33.26,3.35,2465.4,9.53,67.62,2.17,NORMAL
1780770797.3464246,13,420,788,83.56,1880,35.02,0.4,2479.08,23.59,79.66,2.32,NORMAL
1780770797.3973188,64,348,306,56.43,1345,145.75,19.24,2113.84,23.13,22.61,0.38,JAMMING
1780770797.448054,8,426,1021,90.09,356,54.27,8.22,1772.33,8.05,76.44,1.63,NORMAL
1780770797.498897,24,359,1156,51.92,1229,97.6,4.2,1085.38,30.08,37.96,0.53,NORMAL
1780770797.5494008,62,252,208,80.28,1327,11.04,6.35,1534.49,11.27,72.83,6.67,NORMAL
1780770797.60006,88,268,316,77.39,1387,67.99,9.32,444.6,25.29,61.27,1.12,NORMAL
1780770797.650384,41,162,1697,70.53,759,97.16,17.54,1436.2,19.68,43.27,0.72,SUSPICIOUS
1780770797.7011695,16,275,910,78.52,1805,123.69,3.37,903.06,14.09,62.78,0.63,JAMMING
1780770797.7521796,73,482,460,61.61,347,53.89,0.52,701.61,19.89,55.7,1.12,NORMAL
1780770797.8028898,84,443,738,62.48,1618,146.14,13.26,2209.9,45.12,34.61,0.42,SUSPICIOUS
1780770797.8537576,48,321,473,46.68,1970,115.56,9.05,2046.56,16.19,26.07,0.4,JAMMING
1780770797.9047613,34,300,989,60.08,1189,34.98,1.91,654.45,31.78,54.67,1.67,NORMAL
1780770797.9556293,15,171,214,96.56,1429,51.75,13.81,231.52,20.7,77.58,1.83,NORMAL
1780770798.006427,46,497,493,54.9,1218,58.92,5.38,1599.43,12.98,43.63,0.92,NORMAL
1780770798.0571666,29,197,988,57.43,1091,54.34,11.91,2352.87,28.27,40.09,1.04,NORMAL
1780770798.1078618,55,212,747,99.58,971,74.14,9.24,1216.68,16.02,82.93,1.33,NORMAL
1780770798.1582856,20,418,703,86.86,488,70.79,4.34,2133.73,12.17,75.44,1.21,NORMAL
1780770798.2088287,60,374,1717,51.66,1669,141.13,14.52,1650.71,60.07,23.03,0.36,SUSPICIOUS
1780770798.2624948,60,248,797,85.68,1573,49.41,6.08,2342.8,24.13,74.66,1.7,NORMAL
1780770798.3132653,100,160,482,60.81,1242,19.45,3.09,1486.65,34.82,55.77,2.97,NORMAL
1780770798.363888,62,407,249,99.37,1476,59.1,1.44,120.88,22.2,92.02,1.65,NORMAL
1780770798.4146328,39,309,402,91.02,138,94.39,8.65,1158.41,24.71,72.93,0.95,NORMAL
1780770798.4652386,43,259,833,83.29,910,20.85,0.77,388.31,32.66,80.44,3.81,NORMAL
1780770798.5171638,16,173,527,98.7,1231,67.97,2.39,1369.51,11.48,89.51,1.43,NORMAL
1780770798.5677664,57,120,203,75.12,1030,27.61,9.25,968.31,9.03,63.11,2.63,NORMAL
1780770798.619058,85,144,226,65.95,1489,71.51,5.89,1586.79,20.3,52.91,0.91,NORMAL
1780770798.66984,93,454,968,91.55,166,53.94,10.17,796.98,28.11,75.99,1.67,NORMAL
1780770798.720767,60,376,475,72.74,1861,82.09,3.0,1824.45,19.56,61.53,0.88,NORMAL
1780770798.7713947,56,113,1134,96.08,359,43.47,12.37,1359.51,22.53,79.36,2.16,NORMAL
1780770798.822715,11,276,598,69.41,1629,70.46,11.1,1068.4,21.21,51.26,0.97,NORMAL
1780770798.8734262,11,274,281,56.65,847,19.67,14.29,1298.58,31.38,40.39,2.74,NORMAL
1780770798.924441,35,229,681,77.18,1164,66.38,8.13,1861.47,21.54,62.41,1.15,JAMMING
1780770798.9754584,40,259,1594,80.69,867,145.51,5.34,3164.35,61.96,60.8,0.55,SUSPICIOUS
1780770799.0259407,45,433,1686,85.71,2244,49.72,8.4,3174.52,61.56,72.34,1.69,SUSPICIOUS
1780770799.0768795,43,223,899,52.72,1043,82.67,7.39,2487.84,31.42,37.06,0.63,NORMAL
1780770799.127571,18,132,1749,42.19,1281,85.68,16.96,1155.91,40.47,16.66,0.49,SUSPICIOUS
1780770799.1782541,19,335,489,75.58,883,82.87,7.1,1730.34,28.04,60.19,0.9,NORMAL
1780770799.2289183,52,106,1605,77.86,1240,127.0,8.01,2007.18,18.74,57.15,0.61,SUSPICIOUS
1780770799.280047,21,476,1173,87.16,566,60.75,12.81,737.76,12.08,68.27,1.41,SUSPICIOUS
1780770799.3307235,30,108,854,35.32,1956,198.53,3.02,1923.22,22.04,12.45,0.18,JAMMING
1780770799.3816438,80,462,377,64.54,438,63.69,0.57,343.96,36.52,57.6,1.0,NORMAL
1780770799.4334087,83,153,371,74.79,1448,33.17,3.99,1441.43,30.42,67.48,2.19,JAMMING
1780770799.484353,49,181,801,60.75,837,40.4,5.39,2065.68,17.24,51.32,1.47,NORMAL
1780770799.534944,17,323,212,69.05,1008,72.11,1.17,118.76,23.1,60.67,0.94,NORMAL
1780770799.5855658,26,474,1179,57.09,573,80.56,2.86,1648.98,31.91,46.17,0.7,NORMAL
1780770799.6365993,41,337,406,64.91,1272,140.96,16.9,1908.17,15.32,33.91,0.46,JAMMING
1780770799.6873863,17,145,683,64.53,1800,109.26,3.63,984.83,15.35,49.97,0.59,SUSPICIOUS
1780770799.7382843,55,178,1061,94.95,576,44.72,0.86,206.36,35.0,89.62,2.08,NORMAL
1780770799.7887828,66,330,843,61.88,1733,93.15,5.78,546.56,65.8,46.78,0.66,SUSPICIOUS
1780770799.839359,22,191,416,43.04,1680,122.28,13.76,2177.68,13.42,17.05,0.35,JAMMING
1780770799.8902686,85,436,825,92.09,1827,90.15,14.94,1744.72,26.35,68.14,1.01,NORMAL
1780770799.9415278,69,467,1045,81.78,444,87.86,0.76,1024.21,33.0,72.23,0.92,NORMAL
1780770799.9920216,79,149,815,55.37,410,82.24,4.23,1611.55,26.63,42.92,0.67,NORMAL
1780770800.0428421,16,466,727,71.05,1698,24.26,8.87,2260.05,38.66,59.75,2.81,NORMAL
1780770800.0944767,6,343,490,58.59,1353,14.09,6.1,917.63,35.36,51.08,3.88,NORMAL
1780770800.1448364,99,317,831,99.0,1837,49.21,3.59,2273.93,29.37,90.49,1.97,NORMAL
1780770800.1956375,75,478,821,41.78,997,194.29,13.96,1625.92,24.25,8.39,0.21,JAMMING
1780770800.2466185,8,162,391,83.87,1762,78.35,9.03,2453.04,20.96,67.01,1.06,NORMAL
1780770800.2980254,3,279,584,99.49,334,97.85,6.42,2083.6,8.28,83.28,1.01,NORMAL
1780770800.3487117,9,282,500,95.16,1372,78.22,8.36,1266.35,37.16,78.98,1.2,NORMAL
1780770800.3995745,100,473,469,53.38,1532,87.1,0.6,1015.11,33.69,44.07,0.61,NORMAL
1780770800.4500468,75,396,611,56.48,1923,35.23,6.56,1926.97,23.43,46.4,1.56,JAMMING
1780770800.5018322,49,466,938,94.28,1269,130.96,11.04,3330.5,57.74,70.14,0.71,SUSPICIOUS
1780770800.5526822,20,244,503,60.94,1864,153.2,8.61,897.7,26.06,37.01,0.4,JAMMING
1780770800.6036198,9,405,856,87.16,403,91.09,1.07,1119.77,26.99,76.98,0.95,NORMAL
1780770800.6563406,96,478,296,51.96,1553,69.56,11.84,1605.74,20.74,33.16,0.74,NORMAL
1780770800.7073772,71,178,478,97.35,929,49.35,10.55,1563.43,21.42,81.86,1.93,NORMAL
1780770800.7597618,15,250,794,51.46,1933,49.89,6.79,569.45,13.55,39.68,1.01,NORMAL
1780770800.8122296,59,163,434,86.96,316,46.07,21.34,1779.65,20.14,61.01,1.85,JAMMING
1780770800.8643138,35,300,984,90.25,852,60.91,6.21,1931.41,24.1,77.95,1.46,NORMAL
1780770800.915925,52,385,1043,70.88,999,73.1,3.57,595.76,20.44,60.0,0.96,NORMAL
1780770800.9749894,72,500,540,61.99,237,91.26,3.97,1176.97,5.93,48.89,0.67,JAMMING
1780770801.0256994,4,212,644,88.3,881,51.91,4.97,264.93,23.42,78.14,1.67,NORMAL
1780770801.076324,13,436,774,87.05,410,177.55,5.81,155.53,14.4,63.48,0.49,JAMMING
1780770801.1272202,98,472,294,55.19,1584,69.48,5.96,1565.7,6.55,42.28,0.78,NORMAL
1780770801.1778853,64,382,756,68.81,1324,27.85,12.54,1722.97,30.28,53.48,2.39,NORMAL
1780770801.2289572,26,442,691,68.88,891,164.56,3.45,2486.48,21.33,48.97,0.42,JAMMING
1780770801.282805,36,381,1044,91.29,1400,66.01,6.17,1129.31,10.04,78.52,1.36,NORMAL
1780770801.3337584,96,291,1036,93.05,737,72.48,1.58,1297.06,11.23,84.22,1.27,NORMAL
1780770801.3846655,81,290,555,94.66,1035,74.28,13.59,1538.13,21.08,73.64,1.26,NORMAL
1780770801.435457,65,434,691,97.51,1177,31.55,14.87,1618.55,33.03,79.48,3.0,NORMAL
1780770801.486298,6,293,636,53.34,1332,10.65,13.01,413.82,37.48,39.27,4.58,NORMAL
1780770801.5398335,86,160,285,98.71,682,18.42,4.24,1841.38,7.24,92.63,5.08,NORMAL
1780770801.5914245,72,490,547,44.26,531,122.57,5.53,1890.83,23.37,26.47,0.36,JAMMING
1780770801.643951,85,191,344,92.84,709,20.49,12.59,1871.22,13.66,78.2,4.32,NORMAL
1780770801.696545,29,231,715,75.04,1332,42.76,9.91,1768.34,16.4,60.85,1.71,NORMAL
1780770801.750246,22,133,403,65.36,1436,77.15,9.48,1335.97,19.99,48.16,0.84,NORMAL
1780770801.8009675,26,148,327,75.57,468,170.7,14.22,1559.24,20.3,44.28,0.44,JAMMING
1780770801.8519988,98,342,1099,90.19,1568,69.6,6.99,1449.67,25.24,76.24,1.28,NORMAL
1780770801.9030495,1,388,922,63.18,604,67.4,0.04,1120.19,23.04,56.4,0.92,NORMAL
1780770801.955723,26,465,1025,68.94,1305,83.5,11.97,2047.58,15.65,48.62,0.82,JAMMING
1780770802.0070834,67,116,1107,94.08,1033,84.15,11.23,2398.32,29.74,74.43,1.1,NORMAL
1780770802.0581334,90,111,702,78.06,608,87.04,4.84,2006.24,14.59,64.52,0.89,NORMAL
1780770802.1088183,43,229,1048,79.25,971,68.88,13.58,1036.67,14.78,58.78,1.13,NORMAL
1780770802.1596751,5,391,817,83.55,2648,57.57,2.37,1608.35,41.22,75.42,1.43,SUSPICIOUS
1780770802.2105649,41,181,944,60.19,904,79.27,19.91,1078.24,31.31,32.35,0.75,JAMMING
1780770802.2642255,65,343,1030,84.92,1871,21.39,5.85,3472.87,57.82,76.93,3.79,SUSPICIOUS
