[2026-06-07 00:54:23] JAMMING | Target=72 | Signal=43.75 | Loss=9.38 | Latency=191.27
[2026-06-07 00:54:35] JAMMING | Target=89 | Signal=41.77 | Loss=3.86 | Latency=111.89
[2026-06-07 00:54:36] JAMMING | Target=80 | Signal=44.61 | Loss=23.82 | Latency=85.98
[2026-06-07 00:54:36] JAMMING | Target=2 | Signal=68.37 | Loss=3.07 | Latency=140.89
[2026-06-07 00:54:36] SUSPICIOUS | Target=64 | Signal=52.46 | Loss=15.69 | Latency=69.67
[2026-06-07 00:54:37] JAMMING | Target=88 | Signal=51.45 | Loss=0.45 | Latency=103.95
[2026-06-07 00:54:37] SUSPICIOUS | Target=18 | Signal=45.44 | Loss=7.1 | Latency=117.76
[2026-06-07 00:54:37] SUSPICIOUS | Target=15 | Signal=78.56 | Loss=16.37 | Latency=24.56
[2026-06-07 00:54:38] JAMMING | Target=83 | Signal=60.81 | Loss=21.67 | Latency=151.41
[2026-06-07 00:54:39] JAMMING | Target=88 | Signal=56.77 | Loss=22.85 | Latency=132.21
[2026-06-07 00:54:40] SUSPICIOUS | Target=47 | Signal=54.34 | Loss=10.69 | Latency=97.62
[2026-06-07 00:54:41] SUSPICIOUS | Target=92 | Signal=64.9 | Loss=16.8 | Latency=143.81
[2026-06-07 00:54:41] JAMMING | Target=67 | Signal=87.84 | Loss=7.94 | Latency=116.98
[2026-06-07 00:54:41] SUSPICIOUS | Target=53 | Signal=92.98 | Loss=4.53 | Latency=126.17
[2026-06-07 00:54:42] SUSPICIOUS | Target=75 | Signal=51.98 | Loss=10.34 | Latency=36.79
[2026-06-07 00:54:42] JAMMING | Target=58 | Signal=81.49 | Loss=17.39 | Latency=198.01
[2026-06-07 00:54:43] SUSPICIOUS | Target=60 | Signal=81.26 | Loss=17.98 | Latency=143.69
[2026-06-07 00:54:43] SUSPICIOUS | Target=78 | Signal=43.43 | Loss=16.42 | Latency=58.17
[2026-06-07 00:54:44] JAMMING | Target=81 | Signal=64.29 | Loss=18.03 | Latency=145.91
[2026-06-07 00:54:45] JAMMING | Target=34 | Signal=74.93 | Loss=5.01 | Latency=188.98
[2026-06-07 00:54:45] SUSPICIOUS | Target=13 | Signal=83.66 | Loss=6.76 | Latency=57.9
[2026-06-07 00:54:46] JAMMING | Target=16 | Signal=78.64 | Loss=11.01 | Latency=125.85
[2026-06-07 00:54:47] JAMMING | Target=36 | Signal=64.8 | Loss=16.97 | Latency=144.02
[2026-06-07 00:54:48] JAMMING | Target=100 | Signal=82.6 | Loss=11.81 | Latency=135.87
[2026-06-07 00:54:49] SUSPICIOUS | Target=24 | Signal=89.4 | Loss=2.86 | Latency=138.4
[2026-06-07 00:54:50] SUSPICIOUS | Target=32 | Signal=83.26 | Loss=14.24 | Latency=126.95
[2026-06-07 00:54:50] JAMMING | Target=10 | Signal=65.61 | Loss=18.83 | Latency=109.33
[2026-06-07 00:54:50] JAMMING | Target=77 | Signal=77.93 | Loss=19.64 | Latency=147.88
[2026-06-07 00:54:51] JAMMING | Target=72 | Signal=84.04 | Loss=24.65 | Latency=107.69
[2026-06-07 00:54:51] JAMMING | Target=40 | Signal=53.57 | Loss=3.21 | Latency=195.25
[2026-06-07 00:54:51] SUSPICIOUS | Target=26 | Signal=61.72 | Loss=17.41 | Latency=116.54
[2026-06-07 00:54:52] JAMMING | Target=47 | Signal=71.23 | Loss=10.7 | Latency=110.33
[2026-06-07 00:54:52] JAMMING | Target=57 | Signal=32.9 | Loss=16.76 | Latency=171.33
[2026-06-07 00:54:52] SUSPICIOUS | Target=13 | Signal=57.77 | Loss=19.16 | Latency=102.39
[2026-06-07 00:54:52] JAMMING | Target=42 | Signal=53.7 | Loss=16.21 | Latency=122.37
[2026-06-07 00:54:53] SUSPICIOUS | Target=7 | Signal=59.35 | Loss=7.61 | Latency=20.87
[2026-06-07 00:54:53] JAMMING | Target=3 | Signal=88.95 | Loss=18.23 | Latency=128.98
[2026-06-07 00:54:54] JAMMING | Target=76 | Signal=70.05 | Loss=21.35 | Latency=199.38
[2026-06-09 01:45:33] JAMMING | Target=39 | Signal=66.14 | Loss=3.04 | Latency=139.79
[2026-06-09 01:45:34] JAMMING | Target=91 | Signal=32.15 | Loss=19.37 | Latency=73.71
[2026-06-09 01:45:35] JAMMING | Target=18 | Signal=52.11 | Loss=8.94 | Latency=100.47
[2026-06-09 01:45:36] JAMMING | Target=61 | Signal=35.95 | Loss=16.62 | Latency=67.52
[2026-06-09 01:45:36] SUSPICIOUS | Target=96 | Signal=60.75 | Loss=5.8 | Latency=57.99
[2026-06-09 01:45:37] SUSPICIOUS | Target=13 | Signal=67.06 | Loss=6.91 | Latency=116.78
[2026-06-09 01:45:38] SUSPICIOUS | Target=13 | Signal=75.45 | Loss=10.84 | Latency=125.18
[2026-06-09 01:45:39] SUSPICIOUS | Target=82 | Signal=56.43 | Loss=3.8 | Latency=29.68
[2026-06-09 01:45:39] SUSPICIOUS | Target=67 | Signal=59.58 | Loss=10.75 | Latency=67.26
[2026-06-09 01:45:40] JAMMING | Target=6 | Signal=35.86 | Loss=18.9 | Latency=66.4
[2026-06-09 01:45:40] SUSPICIOUS | Target=83 | Signal=80.52 | Loss=8.59 | Latency=102.53
[2026-06-09 01:45:40] JAMMING | Target=14 | Signal=85.35 | Loss=17.66 | Latency=179.69
[2026-06-09 01:45:41] SUSPICIOUS | Target=55 | Signal=91.91 | Loss=11.82 | Latency=82.07
[2026-06-09 01:45:41] JAMMING | Target=3 | Signal=79.28 | Loss=18.51 | Latency=80.91
[2026-06-09 01:45:43] JAMMING | Target=19 | Signal=67.37 | Loss=7.29 | Latency=139.58
[2026-06-09 01:45:43] JAMMING | Target=21 | Signal=41.97 | Loss=17.03 | Latency=44.04
[2026-06-09 01:45:45] JAMMING | Target=40 | Signal=36.47 | Loss=24.75 | Latency=78.18
[2026-06-09 01:45:45] SUSPICIOUS | Target=24 | Signal=95.79 | Loss=7.91 | Latency=119.56
[2026-06-09 01:45:45] SUSPICIOUS | Target=12 | Signal=65.44 | Loss=6.47 | Latency=81.43
[2026-06-09 01:45:45] JAMMING | Target=90 | Signal=51.2 | Loss=19.66 | Latency=98.89
[2026-06-09 01:45:46] SUSPICIOUS | Target=52 | Signal=88.54 | Loss=10.3 | Latency=113.98
[2026-06-09 01:45:46] JAMMING | Target=24 | Signal=69.07 | Loss=19.64 | Latency=80.96
[2026-06-09 01:45:46] SUSPICIOUS | Target=96 | Signal=47.77 | Loss=4.02 | Latency=61.5
[2026-06-09 01:45:47] SUSPICIOUS | Target=44 | Signal=43.99 | Loss=2.01 | Latency=91.47
[2026-06-09 01:45:47] SUSPICIOUS | Target=98 | Signal=91.08 | Loss=4.34 | Latency=103.46
[2026-06-09 01:45:47] SUSPICIOUS | Target=75 | Signal=87.49 | Loss=15.73 | Latency=107.15
[2026-06-09 01:45:48] SUSPICIOUS | Target=22 | Signal=76.75 | Loss=2.9 | Latency=78.17
[2026-06-09 01:45:48] JAMMING | Target=31 | Signal=59.84 | Loss=9.96 | Latency=162.93
[2026-06-09 01:45:48] JAMMING | Target=73 | Signal=39.8 | Loss=18.68 | Latency=126.23
[2026-06-09 01:45:48] JAMMING | Target=69 | Signal=86.92 | Loss=14.14 | Latency=126.16
[2026-06-09 01:45:49] SUSPICIOUS | Target=45 | Signal=63.76 | Loss=7.79 | Latency=113.2
[2026-06-09 01:45:49] SUSPICIOUS | Target=68 | Signal=47.64 | Loss=1.53 | Latency=88.86
[2026-06-09 01:45:50] JAMMING | Target=8 | Signal=80.19 | Loss=24.53 | Latency=75.61
[2026-06-09 01:45:50] SUSPICIOUS | Target=59 | Signal=77.12 | Loss=4.34 | Latency=60.07
[2026-06-09 01:45:51] JAMMING | Target=26 | Signal=74.6 | Loss=14.43 | Latency=162.93
[2026-06-09 01:50:19] JAMMING | Target=3 | Signal=61.66 | Loss=10.3 | Latency=175.05
[2026-06-09 01:50:19] SUSPICIOUS | Target=97 | Signal=69.96 | Loss=11.43 | Latency=135.28
[2026-06-09 01:50:20] SUSPICIOUS | Target=81 | Signal=80.29 | Loss=4.26 | Latency=78.35
[2026-06-09 01:50:21] JAMMING | Target=86 | Signal=79.86 | Loss=22.87 | Latency=154.72
[2026-06-09 01:50:21] JAMMING | Target=3 | Signal=41.02 | Loss=16.95 | Latency=143.04
[2026-06-09 01:50:22] JAMMING | Target=63 | Signal=38.29 | Loss=5.43 | Latency=155.54
[2026-06-09 01:50:23] JAMMING | Target=4 | Signal=73.62 | Loss=20.76 | Latency=184.67
[2026-06-09 01:50:24] SUSPICIOUS | Target=42 | Signal=99.73 | Loss=11.31 | Latency=135.88
[2026-06-09 01:50:24] JAMMING | Target=92 | Signal=37.43 | Loss=17.64 | Latency=97.67
[2026-06-09 01:50:24] SUSPICIOUS | Target=90 | Signal=67.25 | Loss=12.79 | Latency=116.84
[2026-06-09 01:50:24] SUSPICIOUS | Target=88 | Signal=59.01 | Loss=1.96 | Latency=143.34
[2026-06-09 01:50:24] SUSPICIOUS | Target=29 | Signal=43.2 | Loss=15.31 | Latency=25.36
[2026-06-09 01:50:25] SUSPICIOUS | Target=67 | Signal=42.03 | Loss=3.31 | Latency=107.45
[2026-06-09 01:50:25] SUSPICIOUS | Target=40 | Signal=91.05 | Loss=8.38 | Latency=51.03
[2026-06-09 01:50:26] JAMMING | Target=73 | Signal=88.9 | Loss=16.09 | Latency=99.88
[2026-06-09 01:50:27] JAMMING | Target=55 | Signal=59.04 | Loss=24.59 | Latency=167.85
[2026-06-09 01:50:27] SUSPICIOUS | Target=2 | Signal=70.1 | Loss=3.15 | Latency=39.58
[2026-06-09 01:50:28] SUSPICIOUS | Target=41 | Signal=66.2 | Loss=11.94 | Latency=51.79
[2026-06-09 01:50:28] SUSPICIOUS | Target=64 | Signal=53.81 | Loss=13.1 | Latency=67.64
[2026-06-09 01:50:29] JAMMING | Target=69 | Signal=41.43 | Loss=8.85 | Latency=102.08
[2026-06-09 01:50:29] JAMMING | Target=44 | Signal=40.34 | Loss=14.85 | Latency=117.56
[2026-06-09 01:50:30] SUSPICIOUS | Target=59 | Signal=41.42 | Loss=13.74 | Latency=93.53
[2026-06-09 01:50:30] SUSPICIOUS | Target=39 | Signal=48.87 | Loss=9.65 | Latency=149.97
[2026-06-09 01:50:31] SUSPICIOUS | Target=80 | Signal=56.74 | Loss=4.39 | Latency=99.51
[2026-06-09 01:50:31] JAMMING | Target=100 | Signal=38.05 | Loss=3.98 | Latency=54.08
[2026-06-09 01:50:31] SUSPICIOUS | Target=16 | Signal=92.59 | Loss=18.64 | Latency=57.18
[2026-06-09 01:50:32] JAMMING | Target=71 | Signal=51.44 | Loss=15.54 | Latency=24.81
[2026-06-09 01:50:32] SUSPICIOUS | Target=75 | Signal=91.09 | Loss=9.98 | Latency=120.48
[2026-06-09 01:50:32] JAMMING | Target=13 | Signal=45.09 | Loss=21.29 | Latency=124.43
[2026-06-09 01:50:32] JAMMING | Target=1 | Signal=38.76 | Loss=21.39 | Latency=89.34
[2026-06-09 01:50:33] JAMMING | Target=62 | Signal=41.96 | Loss=11.25 | Latency=60.78
[2026-06-09 01:50:33] JAMMING | Target=21 | Signal=42.72 | Loss=3.05 | Latency=128.65
[2026-06-09 01:50:33] SUSPICIOUS | Target=27 | Signal=74.36 | Loss=1.28 | Latency=126.24
[2026-06-09 01:50:33] SUSPICIOUS | Target=95 | Signal=67.31 | Loss=14.91 | Latency=101.03
[2026-06-09 01:50:34] SUSPICIOUS | Target=14 | Signal=61.64 | Loss=2.11 | Latency=144.44
[2026-06-09 01:50:35] SUSPICIOUS | Target=76 | Signal=99.04 | Loss=7.86 | Latency=51.51
[2026-06-09 01:50:35] SUSPICIOUS | Target=63 | Signal=40.73 | Loss=14.82 | Latency=140.73
[2026-06-09 01:50:36] SUSPICIOUS | Target=63 | Signal=99.3 | Loss=15.72 | Latency=113.49
[2026-06-09 01:50:36] SUSPICIOUS | Target=54 | Signal=99.89 | Loss=13.66 | Latency=111.05
[2026-06-09 01:50:36] SUSPICIOUS | Target=37 | Signal=61.94 | Loss=5.35 | Latency=92.68
[2026-06-09 01:50:37] SUSPICIOUS | Target=15 | Signal=63.16 | Loss=13.43 | Latency=145.86
[2026-06-09 01:50:39] JAMMING | Target=73 | Signal=77.56 | Loss=23.81 | Latency=32.08
[2026-06-09 01:50:39] JAMMING | Target=19 | Signal=81.32 | Loss=11.55 | Latency=175.42
[2026-06-09 11:18:47] JAMMING | Target=32 | Signal=85.0 | Loss=10.41 | Latency=192.93
[2026-06-09 11:18:47] JAMMING | Target=66 | Signal=33.47 | Loss=13.6 | Latency=177.21
[2026-06-09 11:18:48] JAMMING | Target=82 | Signal=74.07 | Loss=7.45 | Latency=181.44
[2026-06-09 11:18:48] JAMMING | Target=77 | Signal=81.69 | Loss=18.82 | Latency=162.67
[2026-06-09 11:18:48] JAMMING | Target=80 | Signal=54.26 | Loss=4.73 | Latency=176.04
[2026-06-09 11:18:48] SUSPICIOUS | Target=9 | Signal=72.41 | Loss=19.34 | Latency=53.34
[2026-06-09 11:18:48] JAMMING | Target=36 | Signal=61.49 | Loss=17.27 | Latency=65.24
[2026-06-09 11:18:49] SUSPICIOUS | Target=5 | Signal=49.4 | Loss=8.8 | Latency=58.74
[2026-06-09 11:18:49] SUSPICIOUS | Target=45 | Signal=84.29 | Loss=13.72 | Latency=119.42
[2026-06-09 11:18:50] SUSPICIOUS | Target=7 | Signal=78.0 | Loss=12.44 | Latency=21.62
[2026-06-09 11:18:50] SUSPICIOUS | Target=13 | Signal=62.91 | Loss=9.19 | Latency=58.63
[2026-06-09 11:18:50] SUSPICIOUS | Target=17 | Signal=78.15 | Loss=4.12 | Latency=103.19
[2026-06-09 11:18:51] JAMMING | Target=48 | Signal=57.62 | Loss=16.76 | Latency=136.96
[2026-06-09 11:18:52] JAMMING | Target=97 | Signal=82.89 | Loss=23.37 | Latency=175.85
[2026-06-09 11:18:55] JAMMING | Target=38 | Signal=57.99 | Loss=14.28 | Latency=171.84
[2026-06-09 11:18:55] JAMMING | Target=38 | Signal=31.92 | Loss=24.26 | Latency=69.3
[2026-06-09 11:18:56] SUSPICIOUS | Target=44 | Signal=65.21 | Loss=10.19 | Latency=35.55
[2026-06-09 11:18:57] JAMMING | Target=30 | Signal=44.04 | Loss=21.74 | Latency=176.05
[2026-06-09 11:18:58] SUSPICIOUS | Target=28 | Signal=70.46 | Loss=6.89 | Latency=90.82
[2026-06-09 11:18:58] SUSPICIOUS | Target=76 | Signal=61.08 | Loss=12.55 | Latency=36.44
[2026-06-09 11:18:58] JAMMING | Target=99 | Signal=76.13 | Loss=16.98 | Latency=166.45
[2026-06-09 11:18:59] SUSPICIOUS | Target=63 | Signal=72.49 | Loss=15.65 | Latency=136.34
[2026-06-09 11:18:59] SUSPICIOUS | Target=74 | Signal=93.23 | Loss=12.03 | Latency=89.89
[2026-06-09 11:18:59] JAMMING | Target=50 | Signal=40.01 | Loss=9.31 | Latency=126.92
[2026-06-09 11:19:00] SUSPICIOUS | Target=11 | Signal=98.0 | Loss=17.37 | Latency=149.64
[2026-06-09 11:19:01] SUSPICIOUS | Target=47 | Signal=54.95 | Loss=3.37 | Latency=63.2
[2026-06-09 11:19:01] SUSPICIOUS | Target=16 | Signal=67.3 | Loss=0.19 | Latency=129.18
[2026-06-09 11:19:01] SUSPICIOUS | Target=47 | Signal=83.07 | Loss=7.25 | Latency=81.45
[2026-06-09 11:19:02] JAMMING | Target=38 | Signal=62.53 | Loss=11.22 | Latency=110.09
[2026-06-09 11:19:03] SUSPICIOUS | Target=90 | Signal=51.57 | Loss=8.39 | Latency=149.66
[2026-06-09 11:19:03] JAMMING | Target=95 | Signal=34.17 | Loss=7.32 | Latency=160.2
[2026-06-09 11:19:04] SUSPICIOUS | Target=33 | Signal=64.32 | Loss=4.33 | Latency=149.4
[2026-06-09 11:19:04] JAMMING | Target=85 | Signal=31.78 | Loss=15.96 | Latency=166.21
[2026-06-09 11:19:05] JAMMING | Target=73 | Signal=38.74 | Loss=14.57 | Latency=36.16
[2026-06-09 11:19:06] SUSPICIOUS | Target=8 | Signal=77.26 | Loss=16.97 | Latency=27.36
[2026-06-09 11:19:06] SUSPICIOUS | Target=32 | Signal=87.95 | Loss=4.2 | Latency=20.45
[2026-06-09 11:19:07] SUSPICIOUS | Target=11 | Signal=94.72 | Loss=18.45 | Latency=95.12
[2026-06-09 11:19:07] SUSPICIOUS | Target=75 | Signal=91.54 | Loss=2.37 | Latency=78.79
[2026-06-09 11:19:08] JAMMING | Target=77 | Signal=46.25 | Loss=12.09 | Latency=114.37
[2026-06-09 11:19:08] JAMMING | Target=76 | Signal=87.73 | Loss=4.49 | Latency=199.26
[2026-06-09 11:19:09] SUSPICIOUS | Target=80 | Signal=67.57 | Loss=7.76 | Latency=65.79
[2026-06-09 11:19:09] SUSPICIOUS | Target=85 | Signal=98.66 | Loss=19.39 | Latency=135.22
[2026-06-09 11:19:09] SUSPICIOUS | Target=86 | Signal=81.06 | Loss=2.05 | Latency=25.87
[2026-06-09 11:19:10] SUSPICIOUS | Target=36 | Signal=56.39 | Loss=1.1 | Latency=21.56
[2026-06-09 11:19:10] JAMMING | Target=41 | Signal=86.13 | Loss=16.88 | Latency=146.18
[2026-06-09 11:19:11] JAMMING | Target=7 | Signal=94.82 | Loss=17.49 | Latency=67.23
[2026-06-09 11:19:11] SUSPICIOUS | Target=84 | Signal=65.01 | Loss=0.09 | Latency=74.8
[2026-06-09 11:19:12] SUSPICIOUS | Target=91 | Signal=45.05 | Loss=1.03 | Latency=128.93
[2026-06-09 11:19:12] SUSPICIOUS | Target=73 | Signal=68.27 | Loss=3.38 | Latency=132.13
[2026-06-09 11:19:14] JAMMING | Target=98 | Signal=63.67 | Loss=11.75 | Latency=109.69
[2026-06-09 11:19:14] JAMMING | Target=44 | Signal=56.01 | Loss=4.91 | Latency=156.49
[2026-06-09 11:19:15] JAMMING | Target=46 | Signal=83.79 | Loss=21.94 | Latency=187.6
[2026-06-09 11:19:15] SUSPICIOUS | Target=71 | Signal=46.08 | Loss=16.63 | Latency=122.55
[2026-06-09 11:19:15] JAMMING | Target=80 | Signal=60.43 | Loss=3.52 | Latency=149.73
[2026-06-09 11:19:16] SUSPICIOUS | Target=11 | Signal=49.88 | Loss=14.83 | Latency=110.3
[2026-06-09 11:19:16] SUSPICIOUS | Target=24 | Signal=75.76 | Loss=14.32 | Latency=134.41
[2026-06-09 11:19:16] JAMMING | Target=46 | Signal=40.7 | Loss=13.64 | Latency=52.35
[2026-06-09 11:19:17] JAMMING | Target=33 | Signal=85.22 | Loss=15.23 | Latency=142.99
[2026-06-09 11:19:18] SUSPICIOUS | Target=53 | Signal=65.59 | Loss=11.0 | Latency=93.57
[2026-06-09 11:19:18] SUSPICIOUS | Target=95 | Signal=95.62 | Loss=14.15 | Latency=97.98
[2026-06-09 11:19:19] SUSPICIOUS | Target=49 | Signal=57.0 | Loss=2.26 | Latency=120.92
[2026-06-09 11:19:20] JAMMING | Target=73 | Signal=57.28 | Loss=17.62 | Latency=142.52
